N,vector_time_mean,vector_time_std,vector_mem_mean,vector_mem_std,naive_time_mean,naive_time_std,naive_mem_mean,naive_mem_std
10,0.0012483389931730927,0.00012357204783990144,0.01229248046875,0.001722219849798169,0.013397377403452992,0.0017706751229730879,0.00188446044921875,0.0001876582927894416
100,0.00952739299973473,0.0016089249015069456,0.7525558471679688,0.0,1.01080665999325,0.04806761569591494,0.01141357421875,0.0
190,0.02005728118820116,0.001410842038922419,2.5460739135742188,0.0,4.0566929279943,0.3508770552201252,0.021026611328125,0.0
280,0.06775579178938643,0.004533774386267054,5.451957702636719,0.0,14.765397580398712,4.84073862664225,0.030719757080078125,0.0
370,0.1434181195916608,0.030096746940573748,9.470207214355469,0.0,18.625318507989867,3.403882058954819,0.040332794189453125,0.0
460,0.1807553559890948,0.019407316389512482,14.600822448730469,0.0,27.710323770786637,3.3707290890982433,0.049945831298828125,0.0
550,0.22462401080410926,0.007921639945026555,20.84380340576172,0.0,47.22415984659456,11.943116791853058,0.059558868408203125,0.0
640,0.5633533152053133,0.14983026692234053,28.19915008544922,0.0,55.91781233320944,9.593217941455839,0.06917190551757812,0.0
730,0.375318409409374,0.010626869960707457,36.66686248779297,0.0,68.60421448879643,16.18462958467158,0.07878494262695312,0.0
820,0.47813358859857547,0.008079392596875587,46.24712963104248,0.00042265765489621956,69.47859329979401,0.9685937455529523,0.08840255737304688,1.0235906879424086e-05
910,0.5902376269921661,0.006980001059450777,56.941114807128905,0.0015795831812816833,95.93857415320818,7.911803834330491,0.09801101684570312,0.0
1000,0.7790141353965737,0.008383073238747344,68.74419403076172,0.0,125.86363679219502,18.503117187296503,0.10762405395507812,0.0
